Method,RMSE
Auto Regression,1.2480056402180733
LSTM,1.4170454398447354
Holt-Winters,1.9929880297178382
Simple Exponential Smoothing,3.0063724587655294
Naive method,3.02
ARIMA,4.7862130972370265
Triple Exponential Smoothing,4.899398109723964
